tables,jmx,cql,speedup
0,6206.021082994994,1387.0795409893617,4.474163809357629
20,6378.518749988871,1434.782707990962,4.44563397263152
40,6633.746874998906,1358.1684169912478,4.884333041475558
60,6637.795833012206,1364.641334002954,4.86413218449225
80,6726.019166002516,1298.2120829983614,5.180986415153406
100,6810.154833001434,1288.643249994493,5.28474799602647
120,6957.617374995607,1324.9903329997323,5.251070292146058
140,7107.849374995567,1364.4601659907494,5.2092758382832525
160,7248.531583012664,1319.4039579975652,5.4937925106831
180,7301.2555000022985,1365.9964580001542,5.345003244511688
200,7429.352833991288,1440.2830000035465,5.1582590601798355
220,7549.098083007266,1393.99958300055,5.41542348725673
240,8218.970832997002,1474.1694999975152,5.575322805831253
260,7973.221624997677,1463.6283750005532,5.447572458408142
280,8463.044207994244,1536.0006660048384,5.5097920172175145
300,9015.72754100198,1563.5869999969145,5.7660542975989
320,8685.549458998139,1629.351374998805,5.330679184534096
340,8870.151416005683,1604.6577919914853,5.5277526836405695
360,9356.465582997771,2069.2225419916213,4.521729970132743
380,9711.797124997247,1656.0551669972483,5.864416426782831
400,10011.732500002836,1785.7268340012524,5.606530802681444
420,10489.290540994261,1800.6187089922605,5.825381291780939
440,11010.97883300099,1751.2616669991985,6.287454947762543
460,11099.373375007417,1952.2469579969766,5.685435098024421
480,11732.996999999159,1992.3246250109514,5.889099021669054
500,12152.783124998678,2019.9944999912987,6.0162456506941115
